Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,Gender,JobRole,EmployeeID
44,No,Research & Development,23,3,Medical,2,2,Married,2042,4,4,3,Male,Laboratory Technician,83610273
37,Yes,Human Resources,6,4,Human Resources,3,1,Divorced,2073,4,3,3,Male,Human Resources,84053436
32,No,Research & Development,1,1,Life Sciences,4,1,Single,2956,1,3,1,Male,Research Scientist,64681343
20,Yes,Research & Development,6,3,Life Sciences,4,4,Single,2926,1,3,1,Female,Laboratory Technician,34248759
34,No,Research & Development,6,4,Other,1,3,Single,4809,1,3,16,Female,Research Scientist,27517147
37,No,Research & Development,2,2,Life Sciences,3,4,Divorced,5163,5,4,1,Male,Healthcare Representative,49167537
59,No,Human Resources,2,4,Human Resources,3,4,Married,18844,9,3,3,Female,Manager,83920811
50,No,Research & Development,1,3,Life Sciences,1,2,Married,18172,3,2,8,Female,Research Director,18460345
25,Yes,Sales,5,3,Marketing,3,3,Single,5744,1,3,6,Male,Sales Executive,73757529
25,No,Research & Development,7,1,Medical,4,4,Married,2889,1,3,2,Male,Research Scientist,58802252
22,No,Research & Development,15,3,Medical,2,4,Single,2871,1,3,0,Female,Laboratory Technician,64734402
51,No,Research & Development,1,4,Medical,1,1,Single,7484,3,2,13,Female,Healthcare Representative,79978846
34,Yes,Research & Development,7,3,Life Sciences,1,3,Single,6074,1,3,9,Male,Laboratory Technician,88608127
54,No,Human Resources,26,3,Human Resources,4,4,Single,17328,2,3,5,Female,Manager,13245773
24,No,Research & Development,18,1,Life Sciences,2,3,Married,2774,0,3,5,Male,Laboratory Technician,83205352
34,No,Research & Development,6,4,Life Sciences,3,2,Divorced,4505,6,3,1,Female,Research Scientist,41888000
37,No,Sales,3,3,Life Sciences,3,4,Single,7428,2,3,5,Male,Sales Executive,70159314
34,No,Research & Development,5,3,Medical,3,1,Single,11631,2,3,11,Female,Manager,77405001
36,No,Sales,11,2,Technical Degree,2,4,Married,9738,0,3,9,Female,Sales Executive,64995403
36,No,Research & Development,3,2,Life Sciences,1,4,Divorced,2835,5,3,1,Female,Laboratory Technician,82575217
43,No,Sales,26,2,Life Sciences,3,4,Married,16959,1,4,25,Male,Manager,37034582
30,No,Research & Development,23,3,Life Sciences,1,3,Divorced,2613,1,2,10,Male,Research Scientist,69746372
33,No,Sales,22,2,Marketing,3,2,Married,6146,0,4,7,Male,Sales Executive,26292612
56,Yes,Research & Development,14,4,Life Sciences,2,2,Married,4963,9,3,5,Female,Research Scientist,43934990
51,No,Research & Development,6,3,Life Sciences,1,3,Single,19537,7,3,20,Male,Research Director,66068948
31,Yes,Sales,6,4,Life Sciences,2,3,Married,6172,4,2,7,Male,Sales Executive,50376587
26,No,Research & Development,6,3,Other,3,2,Married,2368,1,2,5,Female,Research Scientist,81567255
58,Yes,Research & Development,23,4,Medical,4,4,Married,10312,1,2,40,Female,Healthcare Representative,19655815
19,Yes,Sales,22,1,Marketing,4,3,Single,1675,1,2,0,Male,Sales Representative,52285669
22,No,Research & Development,2,1,Technical Degree,3,4,Married,2523,0,3,2,Male,Laboratory Technician,60174944
49,No,Research & Development,20,4,Medical,3,1,Married,6567,1,2,15,Female,Manufacturing Director,23775070
43,No,Research & Development,28,3,Medical,2,3,Single,4739,4,3,3,Female,Research Scientist,36327490
50,No,Sales,12,3,Marketing,3,4,Single,9208,4,3,2,Female,Sales Executive,27869273
31,Yes,Sales,20,3,Life Sciences,2,3,Married,4559,3,3,2,Female,Sales Executive,20980043
41,No,Sales,9,1,Life Sciences,3,3,Divorced,8189,3,3,9,Male,Sales Executive,24734502
26,No,Human Resources,25,1,Life Sciences,3,3,Married,2942,1,3,8,Female,Human Resources,47361509
36,No,Research & Development,6,2,Medical,2,2,Divorced,4941,6,3,3,Male,Manufacturing Director,42553570
51,Yes,Research & Development,8,4,Life Sciences,1,4,Single,10650,2,3,4,Male,Manufacturing Director,78539279
39,No,Sales,4,4,Life Sciences,4,3,Married,5902,4,4,15,Female,Sales Executive,32836455
25,No,Sales,28,3,Life Sciences,1,3,Married,8639,2,3,2,Male,Sales Executive,57212572
30,No,Human Resources,9,3,Human Resources,3,4,Married,6347,0,1,11,Male,Human Resources,30715163
32,Yes,Research & Development,9,3,Medical,1,1,Single,4200,7,4,5,Female,Laboratory Technician,10560854
45,No,Research & Development,29,3,Medical,3,4,Single,3452,5,2,6,Male,Research Scientist,25682458
38,No,Research & Development,3,5,Technical Degree,4,3,Single,4317,3,3,3,Female,Research Scientist,78932488
30,No,Research & Development,18,3,Life Sciences,1,3,Single,2632,1,2,5,Female,Research Scientist,44564666
32,No,Sales,9,2,Medical,4,4,Divorced,4668,0,4,8,Male,Sales Executive,68983734
30,No,Research & Development,5,3,Technical Degree,4,1,Divorced,3204,5,3,3,Female,Research Scientist,38673437
30,No,Research & Development,2,1,Medical,2,4,Single,2720,0,3,5,Male,Laboratory Technician,75212715
41,No,Research & Development,10,3,Life Sciences,4,1,Divorced,17181,4,2,7,Male,Manager,12205979
41,No,Research & Development,9,4,Life Sciences,3,1,Married,2238,2,3,5,Male,Laboratory Technician,27116823
19,No,Research & Development,3,1,Medical,2,2,Single,1483,1,3,1,Female,Laboratory Technician,74678812
40,No,Research & Development,26,3,Medical,2,2,Divorced,5605,1,3,20,Female,Research Scientist,12360481
35,No,Sales,1,5,Marketing,3,2,Married,7295,1,3,10,Male,Sales Executive,58835531
53,No,Sales,6,2,Marketing,2,3,Married,2306,2,1,7,Male,Sales Representative,39381880
45,No,Research & Development,9,3,Life Sciences,2,2,Divorced,2348,8,1,17,Male,Laboratory Technician,53019605
32,No,Sales,8,3,Marketing,2,4,Single,8998,1,3,9,Female,Sales Executive,46434249
29,No,Research & Development,1,1,Technical Degree,4,3,Married,4319,1,3,10,Male,Manufacturing Director,23196498
51,No,Research & Development,7,4,Medical,2,3,Married,6132,2,3,1,Male,Manufacturing Director,56104638
58,No,Research & Development,9,3,Medical,2,2,Married,3346,4,2,1,Female,Research Scientist,59051726
40,No,Sales,4,4,Marketing,3,4,Married,10855,7,2,12,Male,Sales Executive,80731064
34,No,Sales,2,4,Marketing,3,3,Married,2231,6,3,4,Female,Sales Representative,65617457
22,No,Research & Development,19,1,Medical,3,4,Married,2323,1,3,2,Male,Research Scientist,24521818
27,No,Research & Development,9,3,Medical,4,2,Divorced,2024,6,1,2,Male,Research Scientist,32354957
28,No,Research & Development,21,3,Medical,3,4,Married,2713,1,1,5,Male,Research Scientist,89213162
57,No,Research & Development,24,2,Life Sciences,3,4,Divorced,9439,3,1,5,Male,Healthcare Representative,55801282
27,No,Research & Development,3,3,Medical,3,3,Divorced,2566,1,2,1,Male,Research Scientist,39282228
50,No,Research & Development,11,3,Life Sciences,3,2,Single,19926,3,3,5,Female,Manager,78886739
41,No,Research & Development,14,3,Life Sciences,1,3,Divorced,2451,4,3,9,Male,Research Scientist,14633476
30,No,Sales,5,3,Life Sciences,2,4,Married,9419,2,3,10,Female,Sales Executive,84813668
38,No,Sales,1,4,Life Sciences,1,4,Single,8686,4,4,8,Female,Sales Executive,81209907
32,No,Research & Development,6,5,Life Sciences,3,3,Single,3038,3,3,5,Male,Research Scientist,16361934
27,No,Research & Development,17,3,Technical Degree,3,2,Married,3058,0,2,5,Male,Research Scientist,44329409
19,Yes,Sales,1,1,Technical Degree,3,1,Single,2325,0,4,0,Female,Sales Representative,72126349
36,No,Research & Development,3,2,Medical,4,2,Single,2088,4,2,8,Male,Laboratory Technician,40475404
30,No,Research & Development,9,3,Medical,3,1,Divorced,3072,1,3,12,Male,Laboratory Technician,53716872
45,No,Sales,4,2,Life Sciences,3,1,Divorced,5006,4,4,5,Female,Sales Executive,41823180
56,No,Research & Development,8,3,Life Sciences,3,1,Divorced,4257,4,3,2,Female,Research Scientist,86796104
33,No,Research & Development,2,3,Life Sciences,3,4,Single,2500,0,4,3,Male,Research Scientist,28509363
19,Yes,Research & Development,2,3,Life Sciences,2,4,Single,1102,1,2,1,Male,Laboratory Technician,14739427
46,No,Sales,1,2,Marketing,2,1,Divorced,10453,1,3,24,Female,Sales Executive,35968917
38,No,Research & Development,9,2,Life Sciences,3,4,Single,2288,1,3,2,Female,Laboratory Technician,66913263
31,No,Research & Development,12,1,Medical,3,4,Married,3929,8,3,4,Female,Research Scientist,24555492
34,No,Research & Development,27,2,Medical,4,2,Single,2311,2,3,3,Female,Research Scientist,26929401
41,Yes,Sales,20,2,Marketing,2,2,Single,3140,1,2,4,Female,Sales Representative,56316650
50,No,Research & Development,1,3,Medical,3,3,Married,3690,2,2,3,Male,Laboratory Technician,88610492
53,No,Research & Development,13,2,Medical,4,1,Divorced,4450,1,3,4,Female,Manufacturing Director,58014540
33,No,Research & Development,14,3,Medical,4,2,Married,2756,1,3,8,Female,Research Scientist,76156773
40,No,Research & Development,4,1,Medical,4,3,Married,19033,1,3,20,Female,Manager,79748446
55,No,Research & Development,14,4,Medical,3,2,Single,18722,8,3,24,Male,Research Director,76279165
34,No,Research & Development,2,1,Life Sciences,4,3,Married,9547,1,2,10,Male,Manufacturing Director,19161332
51,No,Research & Development,3,3,Medical,4,2,Single,13734,3,3,7,Female,Healthcare Representative,66445114
52,No,Research & Development,1,4,Life Sciences,3,3,Married,19999,0,3,33,Male,Manager,44356288
27,No,Research & Development,9,3,Medical,4,2,Single,2279,1,2,7,Female,Research Scientist,56235731
35,Yes,Research & Development,23,2,Life Sciences,2,3,Married,5916,3,3,1,Male,Manufacturing Director,79819466
43,No,Research & Development,7,3,Medical,4,4,Divorced,2089,4,4,5,Male,Research Scientist,28072017
45,No,Research & Development,2,2,Medical,1,4,Married,16792,9,3,20,Male,Manager,33308831
37,No,Research & Development,21,3,Life Sciences,2,1,Married,3564,1,2,8,Male,Research Scientist,76772708
35,No,Research & Development,2,3,Medical,2,2,Single,4425,5,3,6,Female,Laboratory Technician,74183192
42,No,Research & Development,21,2,Medical,3,3,Divorced,5265,2,3,5,Female,Manufacturing Director,39158497
38,No,Research & Development,2,4,Life Sciences,4,3,Married,6553,9,3,1,Male,Manufacturing Director,61820232
38,No,Research & Development,29,3,Technical Degree,4,4,Married,6261,3,1,7,Male,Manufacturing Director,39598999
27,No,Research & Development,1,1,Technical Degree,3,1,Married,4298,5,3,2,Male,Manufacturing Director,31586707
49,No,Research & Development,18,4,Life Sciences,4,4,Divorced,6804,1,3,7,Male,Manufacturing Director,51959912
34,No,Research & Development,10,4,Medical,4,3,Divorced,3815,1,4,5,Male,Research Scientist,39020040
40,No,Research & Development,19,2,Medical,3,4,Married,2741,8,4,7,Male,Laboratory Technician,45044708
38,Yes,Research & Development,29,1,Medical,2,1,Married,6673,7,3,1,Male,Healthcare Representative,26102735
29,Yes,Sales,27,3,Marketing,2,4,Married,7639,1,2,10,Female,Sales Executive,11783776
22,No,Research & Development,5,3,Life Sciences,4,2,Divorced,2328,1,2,4,Male,Research Scientist,48154364
36,No,Research & Development,18,1,Medical,2,4,Single,2153,1,3,8,Female,Laboratory Technician,17878314
40,No,Research & Development,9,5,Life Sciences,4,4,Married,4876,9,1,3,Male,Healthcare Representative,13249724
46,No,Research & Development,1,4,Medical,4,1,Divorced,9396,7,3,4,Male,Healthcare Representative,66262346
32,Yes,Sales,4,4,Medical,4,4,Married,10400,1,2,14,Male,Sales Executive,80791831
30,No,Research & Development,1,1,Life Sciences,3,3,Single,8474,1,3,11,Male,Manufacturing Director,26397355
27,No,Sales,20,3,Life Sciences,4,3,Single,9981,1,3,7,Female,Sales Executive,57527591
51,No,Research & Development,8,4,Life Sciences,2,2,Married,12490,5,1,10,Male,Research Director,23302033
30,Yes,Research & Development,3,3,Technical Degree,4,1,Single,2657,5,3,5,Female,Research Scientist,66957847
41,No,Sales,6,3,Life Sciences,4,4,Single,13591,3,3,1,Female,Manager,62911778
30,Yes,Sales,26,4,Marketing,3,1,Single,6696,5,2,6,Female,Sales Executive,12722995
29,Yes,Research & Development,1,3,Technical Degree,3,3,Single,2058,0,2,6,Male,Research Scientist,36327887
45,No,Sales,6,3,Medical,4,4,Single,8865,6,3,19,Female,Sales Executive,27058403
54,No,Sales,3,3,Marketing,4,1,Married,5940,2,3,6,Female,Sales Executive,51204792
36,No,Research & Development,5,2,Life Sciences,4,2,Single,5914,8,4,13,Male,Laboratory Technician,70805842
33,No,Research & Development,4,4,Medical,3,2,Married,2622,6,3,3,Female,Research Scientist,87823218
37,No,Research & Development,11,3,Other,2,4,Divorced,12185,1,3,10,Male,Research Director,25443723
38,No,Sales,3,3,Life Sciences,1,3,Divorced,10609,0,2,16,Male,Sales Executive,59040671
31,No,Research & Development,1,4,Medical,3,3,Married,4345,0,3,5,Male,Manufacturing Director,78679948
59,No,Research & Development,3,3,Life Sciences,3,4,Married,2177,3,3,1,Male,Research Scientist,57381588
37,No,Sales,4,4,Marketing,1,4,Divorced,2793,4,3,9,Male,Sales Representative,37845508
29,No,Sales,1,1,Medical,2,4,Married,7918,1,3,11,Female,Sales Executive,78953570
35,No,Sales,1,3,Marketing,3,3,Single,8789,1,4,10,Female,Sales Executive,16120776
29,Yes,Research & Development,18,1,Medical,3,4,Single,2389,1,2,4,Male,Research Scientist,25234657
52,No,Research & Development,2,3,Life Sciences,3,4,Single,3212,7,2,2,Female,Laboratory Technician,44322313
42,No,Research & Development,4,2,Technical Degree,3,4,Married,19232,1,3,22,Male,Manager,46101906
59,No,Human Resources,6,2,Medical,2,3,Married,2267,8,2,2,Male,Human Resources,47234158
50,No,Sales,1,4,Medical,4,4,Divorced,19517,3,2,7,Female,Manager,86207748
33,Yes,Research & Development,14,3,Medical,3,4,Married,2436,5,1,5,Male,Laboratory Technician,38144905
43,No,Sales,16,3,Marketing,4,4,Married,16064,5,3,17,Female,Manager,67083569
33,Yes,Research & Development,2,2,Life Sciences,1,1,Married,2707,7,4,9,Female,Laboratory Technician,31358957
52,No,Sales,2,4,Life Sciences,1,3,Single,19068,1,4,33,Male,Manager,65673779
32,No,Sales,4,2,Life Sciences,3,2,Married,3931,2,3,4,Female,Sales Representative,89531320
32,Yes,Research & Development,1,3,Life Sciences,4,3,Single,3730,0,1,3,Male,Laboratory Technician,37796906
39,No,Research & Development,1,4,Medical,3,3,Divorced,2232,7,3,3,Female,Laboratory Technician,79089315
32,No,Sales,26,4,Marketing,3,4,Married,4465,0,3,3,Male,Sales Executive,79276251
41,No,Research & Development,19,2,Life Sciences,3,1,Divorced,3072,2,2,1,Male,Research Scientist,50047344
40,No,Research & Development,24,2,Technical Degree,1,4,Divorced,3319,1,3,9,Male,Research Scientist,10474714
45,No,Research & Development,1,3,Other,3,4,Married,19202,0,3,24,Male,Manager,28288952
31,No,Research & Development,3,4,Medical,2,3,Divorced,13675,9,3,2,Male,Research Director,22489139
33,No,Research & Development,5,4,Life Sciences,3,4,Married,2911,1,2,2,Female,Research Scientist,11986083
34,No,Research & Development,2,4,Life Sciences,4,1,Married,5957,6,3,11,Male,Manufacturing Director,30415188
37,No,Research & Development,1,2,Medical,3,1,Married,3920,2,2,3,Female,Research Scientist,17835457
45,No,Research & Development,7,4,Life Sciences,1,3,Married,6434,4,3,3,Male,Manufacturing Director,41774235
37,Yes,Research & Development,10,3,Medical,1,3,Divorced,10048,6,3,1,Male,Manufacturing Director,81466189
39,No,Research & Development,2,4,Technical Degree,3,3,Single,10938,0,3,19,Female,Healthcare Representative,16426072
29,No,Research & Development,15,3,Life Sciences,3,4,Single,2340,1,3,6,Male,Research Scientist,12325464
42,No,Research & Development,17,2,Life Sciences,4,1,Single,6545,3,3,3,Female,Research Scientist,29516981
29,No,Sales,20,2,Marketing,4,4,Divorced,6931,2,3,3,Male,Sales Executive,67591497
25,No,Research & Development,1,3,Life Sciences,1,3,Married,4898,0,3,4,Female,Manufacturing Director,18438099
42,No,Research & Development,2,3,Medical,4,1,Divorced,2593,0,3,9,Female,Laboratory Technician,14558989
40,No,Research & Development,2,2,Medical,1,3,Divorced,19436,0,3,21,Male,Research Director,23564587
51,No,Research & Development,1,3,Life Sciences,3,4,Married,2723,1,2,1,Male,Research Scientist,32938752
31,Yes,Research & Development,29,2,Medical,3,2,Single,3479,0,4,5,Male,Laboratory Technician,55381937
32,No,Research & Development,7,3,Life Sciences,2,2,Married,2794,1,1,5,Male,Laboratory Technician,48863799
38,No,Sales,2,2,Life Sciences,4,4,Married,5249,3,3,8,Male,Sales Executive,24515879
32,No,Research & Development,2,1,Technical Degree,4,1,Single,2176,4,3,6,Male,Laboratory Technician,25654577
46,No,Sales,2,3,Technical Degree,3,2,Married,16872,3,2,7,Female,Manager,48427275
28,Yes,Research & Development,2,4,Life Sciences,1,3,Single,3485,2,1,0,Male,Laboratory Technician,35700578
29,No,Sales,2,3,Medical,1,2,Married,6644,2,3,0,Male,Sales Executive,50954240
31,No,Research & Development,23,3,Medical,2,4,Married,5582,0,3,9,Male,Healthcare Representative,66074101
25,No,Research & Development,5,2,Life Sciences,2,1,Divorced,4000,1,3,6,Male,Healthcare Representative,54549638
45,No,Research & Development,20,2,Medical,3,4,Married,13496,0,3,20,Male,Healthcare Representative,54597644
36,No,Research & Development,6,3,Life Sciences,4,4,Married,3210,0,3,15,Male,Laboratory Technician,27403967
55,No,Research & Development,1,3,Medical,4,1,Single,19045,0,3,36,Male,Manager,51022838
47,Yes,Research & Development,29,4,Life Sciences,1,2,Married,11849,1,2,10,Male,Manager,64406571
28,No,Research & Development,9,3,Medical,4,4,Married,2070,1,2,5,Male,Research Scientist,38605872
37,No,Sales,6,4,Medical,3,4,Married,6502,4,4,5,Male,Sales Executive,11245755
